name,dob,phone,phone_purpose,club,club_hours_spent,message_to,message
John,7/9/2000,8311111111,cell,NULL,NULL,NULL,NULL
Mary,NULL,NULL,NULL,NULL,NULL,Jane,hello
John,NULL,NULL,NULL,Hiking,20h:15m,NULL,NULL
Jane,9/2/1995,8312222222,cell,NULL,NULL,NULL,NULL
Jane,NULL,NULL,NULL,NULL,NULL,Mary,I am going on a run
Mary,NULL,NULL,NULL,Tennis,25h:15m,NULL,NULL
Mary,1/1/2002,8313333333,work,NULL,NULL,NULL,NULL
Jane,NULL,NULL,NULL,Running,30h:10m,NULL,NULL
Mary,NULL,NULL,NULL,Running,25h:15m,NULL,NULL
John,NULL,NULL,NULL,Tennis,10h:25m,NULL,NULL
John,NULL,NULL,NULL,NULL,NULL,Mary,Tennis?
Jane,9/2/1995,8312225555,work,NULL,NULL,NULL,NULL
Mary,1/1/2002,8313336666,cell,NULL,NULL,NULL,NULL
John,7/9/2000,8311112222,work,NULL,NULL,NULL,NULL
